657893,KWP2315,Jescie Porter,K6494,Pants,Apparels,Credit Card,8,277,2021-04-30 13:11,Botswana,Gaborone,lider.cl,TDUSDTSKVL,N,invalid expiration date
825544,PNN3539,Doris Alston,D0862,Tylenol,"Pharmacy, Health and Wellness",Affirm Monthly Payments,8,104,2021-06-28 4:52,Costa Rica,San Jose,lider.cl,NZMFBQMJUN,Y,
392119,VMN1317,Derek Shannon,P3675,Monopoly,Toys and Video Games,Gift Card,6,204,2021-03-04 2:00,China,Beijing,shopify.com,IELQURTKMH,Y,
613487,VAC8195,Halla Montgomery,D5744,Bottle,Baby,Gift Card,4,190,2021-12-04 19:19,Tanzania,Dar es Salaam,walmart.us,EPLRVVWBSU,Y,
688129,JYW4877,Dean Welch,Z2492,Towel,Household Essentials,Paypal,9,43,2021-12-03 20:47,Costa Rica,San Jose,walmart.ca,LHVRTFFLNG,Y,
823919,KVO0456,Lee Diaz,S5582,Razor,Beauty and Personal Care,Gift Card,7,153,2021-11-18 15:36,Uganda,Kampala,massmart.co.za,EMPRAAENHK,N,authentication denied 
860337,YEV9326,Fleur Mason,G9858,Cereal,Grocery,Debit Card,2,8,2021-02-03 8:49,Botswana,Gaborone,shopify.com,NPMWHNLXSB,Y,
393828,CQC4705,Barry Rowland,U8948,Chair,Home Furniture and Appliances ,Benefit Card,2,113,2021-12-26 19:38,Tanzania,Dar es Salaam,massmart.co.za,WGCADIBFQH,N,insufficient fund
818757,SIX8761,Plato Porter,W8122,Seeds,Patio and Garden,Electronic Benefits Transfer (EBT),2,294,2021-10-26 7:19,Canada,Toronto,walmart.ca,OFSBCHHVDN,N,authentication denied 
735109,OQL7845,Lacy Holloway,O3455,Dress,Apparels,Electronic Benefits Transfer (EBT),3,21,2021-07-31 2:16,China,Beijing,lider.cl,HPGEGVIPJE,N,invalid pin
743505,IPZ5363,Keefe Charles,U5890,Grill,Patio and Garden,Gift Card,3,287,2021-07-07 15:49,India,Mumbai,samsclub.com,NSFMVWXRBN,N,billing address not matching
944052,EME5327,Lara Griffin,P1955,Chair Cover,Patio and Garden,Benefit Card,5,293,2021-03-09 22:34,Guatemala,Guatemala City,shopify.com,OBSIYKJVJK,N,billing address not matching
810713,GSV6073,Dolan Burns,W8559,Grill,Patio and Garden,Debit Card,3,145,2021-04-27 5:28,Mexico,Mexico City,walmart.ca,DIGHDVLYLE,Y,
271632,JDF4752,Giselle Hurley,H5636,Cushion,Automotive,Credit Card,7,232,2021-05-14 23:39,China,Beijing,lider.cl,ZFCXYLBHVR,N,authentication denied 
920288,XZP0464,Petra Shaffer,K3714,Apple,Grocery,Paypal,7,238,2021-12-02 18:22,Namibia,Windhoek,flipcart.com,VSKASZYUJW,N,incorrect card number 
793715,VGK2867,Eve Kim,N2568,Razor,Beauty and Personal Care,Credit Card,9,111,2021-01-03 15:17,Mozambique,Maputo,walmart.cn,VJAJQFHYKE,N,invalid CVV
913857,GDG3391,Chaim Stephens,O8009,Jack,Automotive,Affirm Monthly Payments,3,119,2021-08-12 3:02,Lesotho,Maseru,etsy.com,RWLNMHHPBW,Y,
312128,GCG9045,Norman Mckee,Y1358,Phone,Electronics,Electronic Benefits Transfer (EBT),6,49,2021-09-14 21:43,Tanzania,Dar es Salaam,walmart.cn,JVBXLNMPMS,N,invalid pin
